Id,Country,Year,Female_Under18,Female_Over18,Male_Under18,Male_Over18,Total_Under18,Total_Over18,VALUE
1,Ecuador,2023,0.05691130341844155,0.0895734427716341,0.044144128887308266,0.06947902024871996,0.05669491062977826,0.08923285933904232,82.20019
2,Ecuador,2024,0.05921052007654656,0.09319220985960809,0.04592755169435551,0.07228597266676826,0.05898538501922129,0.09283786685633962,81.98233
3,Ecuador,2025,0.061555265777386375,0.09688263570179945,0.04774628980451262,0.07514850830101553,0.06132121533716817,0.09651426066110819,81.01739
4,Ecuador,2026,0.06394554052096094,0.10064472029820808,0.04960034321777959,0.07806662715146179,0.06370240158361887,0.10026204075334796,79.83039
5,Ecuador,2027,0.0663813443072702,0.10447846364883404,0.051489711934156364,0.08104032921810701,0.06612894375857337,0.10408120713305902,78.53818
6,Ecuador,2028,0.06886267713631426,0.10838386575367727,0.053414395953643015,0.0840696145009512,0.0686008418620317,0.10797175980024123,76.12682
7,Ecuador,2029,0.0713895390080931,0.11236092661273785,0.05537439527623951,0.08715448299999436,0.07111809589399389,0.11193369875489473,73.67714
8,Germany,2023,0.0507450810185185,0.09760802469135803,0.053365071614583315,0.10264756944444445,0.0547440140335648,0.1052999614197531,46.723984
9,Germany,2024,0.05279518229166666,0.1015513888888889,0.0555210205078125,0.10679453125,0.056955672200520835,0.10955407986111114,44.648586
10,Germany,2025,0.05488587962962961,0.10557283950617284,0.057719661458333314,0.11102361111111113,0.05921112557870369,0.11389243827160496,42.896008
11,Germany,2026,0.05701717303240738,0.10967237654320987,0.059960994466145806,0.11533480902777778,0.061510374168113405,0.11831503665123458,40.670544
12,Germany,2027,0.0591890625,0.11384999999999999,0.06224501953125,0.119728125,0.06385341796875,0.12282187500000001,37.529213
13,Germany,2028,0.0614015480324074,0.11810570987654322,0.06457173665364582,0.12420355902777776,0.06624025698061344,0.12741295331790126,34.113354
14,Germany,2029,0.06365462962962962,0.12243950617283951,0.06694114583333331,0.1287611111111111,0.06867089120370368,0.13208827160493827,30.081503
15,Barbados,2023,0.008620333900380106,0.04913590323216667,0.014672908766604436,0.0836355799696454,0.019533309795542155,0.11133986583459042,21.808294
16,Barbados,2024,0.008968595389955475,0.05112099372274621,0.015265694280775278,0.08701445740041908,0.020322455511282093,0.11583799641430792,20.95958
17,Barbados,2025,0.009323753146651128,0.053145392935911466,0.015870218121959365,0.09046024329516844,0.021127227874858413,0.12042519888669302,20.995611
18,Barbados,2026,0.009685807170467084,0.05520910087166247,0.016486480290156744,0.0939729376538936,0.02194762688627117,0.12510147325174586,21.086882
19,Barbados,2027,0.010054757461403371,0.057312117529999235,0.01711448078536744,0.09755254047659444,0.022783652545520405,0.12986681950946635,21.313911
20,Barbados,2028,0.010430604019459937,0.05945444291092168,0.017754219607591378,0.10119905176327093,0.023635304852606027,0.13472123765985444,21.327768
21,Barbados,2029,0.010813346844636803,0.06163607701442989,0.0184056967568286,0.10491247151392322,0.024502583807528084,0.13966472770291033,21.708593
22,Denmark,2023,0.04352526172052797,0.10027878925807915,0.052007107594271886,0.11982029690837151,0.05535520464969713,0.12753404992822379,31.438425
23,Denmark,2024,0.04528368229403732,0.10433005234410557,0.054108194741080494,0.12466103690346973,0.05759155491754489,0.13268642554532398,31.425398
24,Denmark,2025,0.047076923076923065,0.10846153846153844,0.05625088757396447,0.12959763313609463,0.059872189349112405,0.13794082840236682,31.328478
25,Denmark,2026,0.048904984069185226,0.11267324761037777,0.0584351860929239,0.13463008560624629,0.062197107944399685,0.1432972584993523,31.261963
26,Denmark,2027,0.05076786527082384,0.11696517979062356,0.060661090297958756,0.1397583943139246,0.06456631070340675,0.14875571583628025,31.329048
27,Denmark,2028,0.05266556668183885,0.12133733500227582,0.06292860018906898,0.14498255925912956,0.06697979762613353,0.1543162004131508,31.389597
28,Denmark,2029,0.05459808830223032,0.12578971324533456,0.0652377157662547,0.1503025804418613,0.06943756871258008,0.1599787122299639,31.455772
