Id,Country,Year,Gender_Female,Gender_Male,Gender_Total,Age_Under18,Age_Over18,Age_Total,Female_Under18,Female_Over18,Male_Under18,Male_Over18,Total_Under18,Total_Over18,VALUE
1,Ecuador,2023,0.3607681755829904,0.279835390946502,0.3593964334705075,0.1577503429355281,0.2482853223593964,0.5939643347050755,0.05691130341844155,0.0895734427716341,0.044144128887308266,0.06947902024871996,0.05669491062977826,0.08923285933904232,82.20019
2,Ecuador,2024,0.3679835390946502,0.2854320987654321,0.3665843621399177,0.1609053497942386,0.2532510288065843,0.605843621399177,0.05921052007654656,0.09319220985960809,0.04592755169435551,0.07228597266676826,0.05898538501922129,0.09283786685633962,81.98233
3,Ecuador,2025,0.37519890260631,0.2910288065843621,0.3737722908093278,0.1640603566529492,0.2582167352537723,0.6177229080932786,0.061555265777386375,0.09688263570179945,0.04774628980451262,0.07514850830101553,0.06132121533716817,0.09651426066110819,81.01739
4,Ecuador,2026,0.3824142661179698,0.2966255144032922,0.380960219478738,0.1672153635116598,0.2631824417009602,0.62960219478738,0.06394554052096094,0.10064472029820808,0.04960034321777959,0.07806662715146179,0.06370240158361887,0.10026204075334796,79.83039
5,Ecuador,2027,0.3896296296296296,0.3022222222222222,0.3881481481481482,0.1703703703703703,0.2681481481481482,0.6414814814814815,0.0663813443072702,0.10447846364883404,0.051489711934156364,0.08104032921810701,0.06612894375857337,0.10408120713305902,78.53818
6,Ecuador,2028,0.3968449931412894,0.3078189300411523,0.3953360768175583,0.1735253772290809,0.2731138545953361,0.6533607681755831,0.06886267713631426,0.10838386575367727,0.053414395953643015,0.0840696145009512,0.0686008418620317,0.10797175980024123,76.12682
7,Ecuador,2029,0.4040603566529493,0.3134156378600823,0.4025240054869685,0.1766803840877915,0.278079561042524,0.6652400548696846,0.0713895390080931,0.11236092661273785,0.05537439527623951,0.08715448299999436,0.07111809589399389,0.11193369875489473,73.67714
8,Germany,2023,0.3194444444444444,0.3359375,0.3446180555555556,0.1588541666666666,0.3055555555555556,0.5355902777777778,0.0507450810185185,0.09760802469135803,0.053365071614583315,0.10264756944444445,0.0547440140335648,0.1052999614197531,46.723984
9,Germany,2024,0.3258333333333333,0.34265625,0.3515104166666667,0.16203125,0.3116666666666667,0.5463020833333334,0.05279518229166666,0.1015513888888889,0.0555210205078125,0.10679453125,0.056955672200520835,0.10955407986111114,44.648586
10,Germany,2025,0.3322222222222222,0.349375,0.3584027777777778,0.1652083333333333,0.3177777777777778,0.5570138888888889,0.05488587962962961,0.10557283950617284,0.057719661458333314,0.11102361111111113,0.05921112557870369,0.11389243827160496,42.896008
11,Germany,2026,0.3386111111111111,0.35609375,0.3652951388888889,0.1683854166666666,0.3238888888888889,0.5677256944444445,0.05701717303240738,0.10967237654320987,0.059960994466145806,0.11533480902777778,0.061510374168113405,0.11831503665123458,40.670544
12,Germany,2027,0.345,0.3628125,0.3721875,0.1715625,0.33,0.5784375,0.0591890625,0.11384999999999999,0.06224501953125,0.119728125,0.06385341796875,0.12282187500000001,37.529213
13,Germany,2028,0.3513888888888889,0.36953125,0.3790798611111112,0.1747395833333333,0.3361111111111111,0.5891493055555557,0.0614015480324074,0.11810570987654322,0.06457173665364582,0.12420355902777776,0.06624025698061344,0.12741295331790126,34.113354
14,Germany,2029,0.3577777777777778,0.37625,0.3859722222222222,0.1779166666666666,0.3422222222222222,0.5998611111111112,0.06365462962962962,0.12243950617283951,0.06694114583333331,0.1287611111111111,0.06867089120370368,0.13208827160493827,30.081503
15,Barbados,2023,0.2012847965738758,0.3426124197002141,0.45610278372591,0.0428265524625267,0.2441113490364025,0.7130620985010707,0.008620333900380106,0.04913590323216667,0.014672908766604436,0.0836355799696454,0.019533309795542155,0.11133986583459042,21.808294
16,Barbados,2024,0.2053104925053533,0.3494646680942184,0.4652248394004283,0.0436830835117773,0.2489935760171306,0.7273233404710922,0.008968595389955475,0.05112099372274621,0.015265694280775278,0.08701445740041908,0.020322455511282093,0.11583799641430792,20.95958
17,Barbados,2025,0.2093361884368308,0.3563169164882226,0.4743468950749465,0.0445396145610278,0.2538758029978586,0.7415845824411136,0.009323753146651128,0.053145392935911466,0.015870218121959365,0.09046024329516844,0.021127227874858413,0.12042519888669302,20.995611
18,Barbados,2026,0.2133618843683083,0.363169164882227,0.4834689507494647,0.0453961456102783,0.2587580299785867,0.755845824411135,0.009685807170467084,0.05520910087166247,0.016486480290156744,0.0939729376538936,0.02194762688627117,0.12510147325174586,21.086882
19,Barbados,2027,0.2173875802997859,0.3700214132762313,0.4925910064239829,0.0462526766595289,0.2636402569593148,0.7701070663811564,0.010054757461403371,0.057312117529999235,0.01711448078536744,0.09755254047659444,0.022783652545520405,0.12986681950946635,21.313911
20,Barbados,2028,0.2214132762312634,0.3768736616702355,0.5017130620985011,0.0471092077087794,0.2685224839400428,0.7843683083511779,0.010430604019459937,0.05945444291092168,0.017754219607591378,0.10119905176327093,0.023635304852606027,0.13472123765985444,21.327768
21,Barbados,2029,0.2254389721627409,0.3837259100642398,0.5108351177730194,0.0479657387580299,0.2734047109207709,0.7986295503211993,0.010813346844636803,0.06163607701442989,0.0184056967568286,0.10491247151392322,0.024502583807528084,0.13966472770291033,21.708593
22,Denmark,2023,0.2884615384615384,0.3446745562130177,0.3668639053254438,0.150887573964497,0.3476331360946745,0.5014792899408284,0.04352526172052797,0.10027878925807915,0.052007107594271886,0.11982029690837151,0.05535520464969713,0.12753404992822379,31.438425
